epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5263.67,0.91884,0.80137,1.09354,0.82214,0.72578,0.75566,0.50847,1.33315,1.44611,1.42096,0.00026,0.00026,0.00026
82,5328.8,0.96502,0.9407,1.12082,0.83293,0.73809,0.76564,0.51161,1.32647,1.41088,1.40974,0.000247625,0.000247625,0.000247625
83,5393.21,0.95242,0.83653,1.09756,0.8386,0.73637,0.76828,0.5204,1.30899,1.40898,1.39409,0.00023525,0.00023525,0.00023525
84,5458.25,0.97111,0.8335,1.11044,0.85945,0.72006,0.76686,0.52159,1.28446,1.40253,1.38559,0.000222875,0.000222875,0.000222875
85,5523.08,0.93381,0.8134,1.09576,0.83883,0.71841,0.7591,0.5137,1.28039,1.43369,1.39574,0.0002105,0.0002105,0.0002105
86,5588.01,0.8921,0.75586,1.05322,0.80564,0.72927,0.75888,0.51143,1.29613,1.43322,1.40655,0.000198125,0.000198125,0.000198125
87,5652.95,0.92048,0.7863,1.07511,0.87579,0.70219,0.76012,0.51688,1.29732,1.43831,1.40213,0.00018575,0.00018575,0.00018575
88,5717.43,0.88674,0.77844,1.06596,0.81796,0.72265,0.73788,0.51596,1.30958,1.43759,1.41332,0.000173375,0.000173375,0.000173375
89,5782.41,0.88989,0.75795,1.06238,0.80352,0.72632,0.73587,0.51516,1.30055,1.42826,1.4156,0.000161,0.000161,0.000161
90,5847.07,0.87787,0.75765,1.08245,0.85918,0.70971,0.74,0.51283,1.29512,1.41305,1.42139,0.000148625,0.000148625,0.000148625
91,5911.17,0.84479,0.72251,1.04896,0.81256,0.72754,0.73809,0.5128,1.28967,1.42149,1.41604,0.00013625,0.00013625,0.00013625
92,5975.65,0.82666,0.68717,1.01955,0.78578,0.74446,0.73719,0.51925,1.27394,1.40803,1.40934,0.000123875,0.000123875,0.000123875
93,6039.95,0.84766,0.68762,1.03081,0.82012,0.70665,0.74234,0.51514,1.274,1.40217,1.40416,0.0001115,0.0001115,0.0001115
94,6105,0.79036,0.63985,1.01926,0.84319,0.69146,0.74136,0.51299,1.26929,1.40915,1.39922,9.9125e-05,9.9125e-05,9.9125e-05
95,6170.13,0.82931,0.67224,1.04393,0.84848,0.72603,0.75797,0.51655,1.27491,1.42653,1.40205,8.675e-05,8.675e-05,8.675e-05
96,6237.45,0.78312,0.6853,1.03658,0.8461,0.7344,0.75808,0.51547,1.27495,1.42805,1.40583,7.4375e-05,7.4375e-05,7.4375e-05
97,6301.94,0.80985,0.70358,1.05077,0.835,0.7344,0.75773,0.5143,1.27835,1.43242,1.41182,6.2e-05,6.2e-05,6.2e-05
98,6366.63,0.78716,0.64313,1.01214,0.8379,0.7344,0.75978,0.52099,1.27526,1.42474,1.41024,4.9625e-05,4.9625e-05,4.9625e-05
99,6431.16,0.81695,0.70193,1.04645,0.83602,0.72663,0.76105,0.52237,1.27467,1.43592,1.40916,3.725e-05,3.725e-05,3.725e-05
100,6499.91,0.77654,0.65594,1.02129,0.855,0.72092,0.76084,0.52195,1.27795,1.4321,1.4114,2.4875e-05,2.4875e-05,2.4875e-05
